County Name,County FIPS Code,State Name,Water Stress Level
Dinwiddie,51053,Virginia,4
Raleigh,54081,West Virginia,1
Martin,37117,North Carolina,3
Gloucester,51073,Virginia,3
Northampton,42095,Pennsylvania,3
Amherst,51009,Virginia,3
Salem,34033,New Jersey,3
Wayne,42127,Pennsylvania,3
Middlesex,51119,Virginia,3
Berkeley,54003,West Virginia,3
Rowan,21205,Kentucky,1
Hertford,37091,North Carolina,4
Meigs,39105,Ohio,1
Roanoke,51161,Virginia,3
Greenup,21089,Kentucky,3
Hancock,39063,Ohio,1
Erie,39043,Ohio,1
Washington,37187,North Carolina,3
Fulton,39051,Ohio,1
Wood,54107,West Virginia,1
Westmoreland,51193,Virginia,4
Shenandoah,51171,Virginia,3
Lancaster,51103,Virginia,4
Henry,51089,Virginia,3
Pasquotank,37139,North Carolina,3
Cherokee,37039,North Carolina,1
Isle of Wight,51093,Virginia,2
Woodford,17203,Illinois,2
Livingston,17105,Illinois,2
Laurel,21125,Kentucky,3
Frederick,51069,Virginia,3
Dorchester,24019,Maryland,3
Bertie,37015,North Carolina,1
St Joseph,18141,Indiana,4
Barren,21009,Kentucky,3
Surry,51181,Virginia,4
Pittsylvania,51143,Virginia,3
Bath,51017,Virginia,3
Frederick,24021,Maryland,4
Halifax,37083,North Carolina,3
Kanawha,54039,West Virginia,1
Wicomico,24045,Maryland,4
Clarion,42031,Pennsylvania,2
DeKalb,17037,Illinois,5
James City,51095,Virginia,4
Hardin,21093,Kentucky,3
Greene,39057,Ohio,1
Kenton,21117,Kentucky,1
Southampton,51175,Virginia,4
Chowan,37041,North Carolina,3
Suffolk City,51800,Virginia,2
STARK,17175,Illinois,3
Bureau,17011,Illinois,2
Prince Georges,24033,Maryland,2
Culpeper,51047,Virginia,3
Washington,42125,Pennsylvania,3
Huron,39077,Ohio,1
Somerset,42111,Pennsylvania,2
Clark,39023,Ohio,1
Clermont,39025,Ohio,1
Hampton City,51650,Virginia,4
McLean,17113,Illinois,2
Amelia,51007,Virginia,4
Stark,39151,Ohio,3
Grant,54023,West Virginia,1
Huntingdon,42061,Pennsylvania,3
Blair,42013,Pennsylvania,3
Greenbrier,54025,West Virginia,1
Putnam,54079,West Virginia,1
Somerset,24039,Maryland,4
Marshall,17123,Illinois,2
Carroll,24013,Maryland,4
Mahoning,39099,Ohio,1
Bedford,51019,Virginia,3
Henry,17073,Illinois,4
Cape May,34009,New Jersey,3
Lancaster,42071,Pennsylvania,1
Anne Arundel,24003,Maryland,2
Erie,42049,Pennsylvania,2
Howard,24027,Maryland,2
Stephenson,17177,Illinois,4
Morris,34027,New Jersey,1
Jo Daviess,17085,Illinois,1
Baltimore,24005,Maryland,2
Monmouth,34025,New Jersey,3
Boone,17007,Illinois,4
Sussex,10005,Delaware,5
Greensville,51081,Virginia,4
Somerset,34035,New Jersey,4
Middlesex,34023,New Jersey,4
Kankakee,17091,Illinois,4
Tioga,42117,Pennsylvania,2
Van Wert,39161,Ohio,1
Harford,24025,Maryland,1
Berrien,26021,Michigan,4
Caroline,51033,Virginia,3
Fauquier,51061,Virginia,4
Lackawanna,42069,Pennsylvania,1
LaSalle,17099,Illinois,2
Armstrong,42005,Pennsylvania,2
Alleghany,51005,Virginia,3
Marion,39101,Ohio,3
Beaver,42007,Pennsylvania,1
Lee,17103,Illinois,4
Halifax,51083,Virginia,3
Guernsey,39059,Ohio,3
Harrison,54033,West Virginia,3
Scioto,39145,Ohio,3
Worcester,24047,Maryland,4
Mercer,34021,New Jersey,4
Atlantic,34001,New Jersey,3
Northampton,51131,Virginia,4
Monongalia,54061,West Virginia,3
Franklin,39049,Ohio,3
Montour,42093,Pennsylvania,2
Prince George,51149,Virginia,4
Marshall,54051,West Virginia,1
Cambria,42021,Pennsylvania,2
Wyoming,42131,Pennsylvania,1
Pickaway,39129,Ohio,3
Warren,51187,Virginia,3
Montgomery,42091,Pennsylvania,3
Medina,39103,Ohio,3
Sussex,34037,New Jersey,2
Franklin,42055,Pennsylvania,3
Passaic,34031,New Jersey,1
Monroe,39111,Ohio,1
Dearborn,18029,Indiana,1
Jefferson,18077,Indiana,3
New Castle,10003,Delaware,4
Cass,26027,Michigan,1
Cecil,24015,Maryland,3
Calvert,24009,Maryland,2
Washington,39167,Ohio,3
Mason,21161,Kentucky,1
Bucks,42017,Pennsylvania,3
Mason,54053,West Virginia,1
Butler,39017,Ohio,3
Brunswick,51025,Virginia,4
Ogle,17141,Illinois,4
Burlington,34005,New Jersey,3
Rockingham,51165,Virginia,3
Auglaize,39011,Ohio,1
Schuylkill,42107,Pennsylvania,3
District of Columbia,11001,District of Columbia,1
Vinton,39163,Ohio,3
Rock Island,17161,Illinois,4
Pleasants,54073,West Virginia,1
Oldham,21185,Kentucky,1
Lawrence,39087,Ohio,3
Snyder,42109,Pennsylvania,1
Union,34039,New Jersey,5
FAYETTE,42051,Pennsylvania,3
Madison,18095,Indiana,3
Lawrence,21127,Kentucky,3
Fluvanna,51065,Virginia,3
Defiance,39039,Ohio,1
Cumberland,34011,New Jersey,3
Jefferson,39081,Ohio,1
Wayne,18177,Indiana,3
Chesterfield,51041,Virginia,4
Delaware,42045,Pennsylvania,3
Montgomery,39113,Ohio,3
Buckingham,51029,Virginia,3
Clark,21049,Kentucky,3
Miami,39109,Ohio,3
Lycoming,42081,Pennsylvania,2
Northumberland,42097,Pennsylvania,1
Lawrence,42073,Pennsylvania,1
Chesapeake City,51550,Virginia,3
Berks,42011,Pennsylvania,3
Fairfax,51059,Virginia,4
Carbon,42025,Pennsylvania,3
Adams,42001,Pennsylvania,4
